iter	Logloss
0	0.6466319764
1	0.6048947534
2	0.5715060034
3	0.5366339631
4	0.5055553798
5	0.4773828799
6	0.4556080009
7	0.4369134913
8	0.415115142
9	0.3959254216
10	0.3786608817
11	0.3641338308
12	0.3509764559
13	0.3413805504
14	0.3320314514
15	0.3217135873
16	0.3150316297
17	0.3061230596
18	0.2966345765
19	0.2904525195
20	0.2828781998
21	0.2775892731
22	0.2708147496
23	0.2670401589
24	0.2633210843
25	0.2584716885
26	0.2553474335
27	0.2513642614
28	0.2487562107
29	0.2453601559
30	0.2412735432
31	0.2390635148
32	0.2373604783
33	0.2351904928
34	0.2335419291
35	0.2318586014
36	0.2303332375
37	0.2287128496
38	0.226548308
39	0.2245106055
40	0.2229821932
41	0.221336486
42	0.2196968707
43	0.2188178371
44	0.2174513644
45	0.216502515
46	0.2152562719
47	0.2144105285
48	0.2137382386
49	0.2132189235
50	0.2124126326
51	0.2117906728
52	0.2111676031
53	0.2104274364
54	0.2100111293
55	0.2093149508
56	0.2090293619
57	0.2081745747
58	0.2074651235
59	0.207030734
60	0.2064191095
61	0.2059291256
62	0.2054604595
63	0.2045015912
64	0.2042040477
65	0.2037737275
66	0.203460979
67	0.2030827244
68	0.2028405361
69	0.2023413385
70	0.2021082629
71	0.2015914026
72	0.2012111389
73	0.2009439834
74	0.2006738919
75	0.2005251013
76	0.2004628073
77	0.2002787928
78	0.2001220202
79	0.1999744961
80	0.1995155087
81	0.1992214685
82	0.1985049561
83	0.1981548042
84	0.1979853466
85	0.197862925
86	0.197714724
87	0.1975342655
88	0.1974468474
89	0.1973205271
90	0.197018941
91	0.1968879227
92	0.1966448069
93	0.1964633347
94	0.1961657212
95	0.1960298387
96	0.1957322183
97	0.1956382954
98	0.1954539258
99	0.1953322861
100	0.1951963306
101	0.1946741122
102	0.1945787082
103	0.1944633316
104	0.194375077
105	0.1942589613
106	0.194200685
107	0.1940731435
108	0.1940093113
109	0.1932523829
110	0.1930531543
111	0.1929723172
112	0.1923873417
113	0.1923205245
114	0.1922250355
115	0.1921597919
116	0.1920735365
117	0.1919743492
118	0.1918692454
119	0.1916796472
120	0.1914889058
121	0.1914015322
122	0.1913081044
123	0.1912352094
124	0.1911506402
125	0.1910999401
126	0.1910043647
127	0.190939575
128	0.1909130411
129	0.1906981875
130	0.1906655237
131	0.1905871575
132	0.1905082254
133	0.1903658311
134	0.1903102437
135	0.1899636316
136	0.1899212777
137	0.1898407382
138	0.1898054942
139	0.1897189842
140	0.1896280306
141	0.1895848541
142	0.1890317478
143	0.1890036602
144	0.1889281946
145	0.1888618115
146	0.1888021036
147	0.1887188805
148	0.1886348634
149	0.188582185
150	0.1884944408
151	0.188430503
152	0.1884040513
153	0.1883640421
154	0.1883129493
155	0.1882681373
156	0.1881915163
157	0.1880437746
158	0.188008581
159	0.1879723741
160	0.1879296983
161	0.1878988315
162	0.187845145
163	0.187667556
164	0.1876402092
165	0.1875996907
166	0.1875505232
167	0.1875373663
168	0.1874972758
169	0.1874662072
170	0.1873937704
171	0.1873554939
172	0.1872936242
173	0.1871867356
174	0.1870373648
175	0.1869420725
176	0.1869093916
177	0.1868203629
178	0.1865596423
179	0.1865330001
180	0.186484564
181	0.1864545148
182	0.1864225687
183	0.1863766335
184	0.1863252841
185	0.1859918426
186	0.1859527165
187	0.1859299267
188	0.1858533822
189	0.1858259804
190	0.1857333143
191	0.1856989214
192	0.1856148388
193	0.1855601879
194	0.1855378952
195	0.1854789426
196	0.185357377
197	0.1852899065
198	0.185259643
199	0.1849790858
200	0.1849528827
201	0.1849385054
202	0.1849226636
203	0.1848870176
204	0.1848552969
205	0.1848302763
206	0.1848051189
207	0.1847425149
208	0.1847083932
209	0.1846915925
210	0.1846106813
211	0.184571827
212	0.184559412
213	0.1845342137
214	0.1845105381
215	0.184480715
216	0.1844665128
217	0.1842436283
218	0.1842015823
219	0.1841865029
220	0.1841665433
221	0.1841567358
222	0.1841118182
223	0.1841050478
224	0.1840887736
225	0.1839799272
226	0.1839509852
227	0.183884158
228	0.1838551174
229	0.1838223726
230	0.1837958824
231	0.1837676882
232	0.183753074
233	0.1836970167
234	0.183644534
235	0.1835899613
236	0.1835730595
237	0.1835286462
238	0.1835007959
239	0.1834752357
240	0.1834560846
241	0.183415391
242	0.1834018992
243	0.183376574
244	0.1833579608
245	0.1833378064
246	0.1833018162
247	0.1832829035
248	0.1832588803
249	0.1832195593
250	0.1831879069
251	0.1831812898
252	0.1831606733
253	0.1831454475
254	0.1831217442
255	0.1830934359
256	0.1830829089
257	0.183059729
258	0.1830379734
259	0.1830275552
260	0.1830118053
261	0.1829982773
262	0.1829693581
263	0.1829367073
264	0.1829037001
265	0.1828624258
266	0.1828253748
267	0.1828025719
268	0.1827897057
269	0.1827503715
270	0.1827201788
271	0.1826616883
272	0.1826388401
273	0.1825730533
274	0.182561072
275	0.1825429732
276	0.1825160293
277	0.1825057517
278	0.1824838541
279	0.1824771309
280	0.1824688337
281	0.1824315054
282	0.1823563471
283	0.1823326189
284	0.1822927662
285	0.1822859142
286	0.1822503017
287	0.1822382983
288	0.1822083671
289	0.1821953204
290	0.1821739371
291	0.1821368335
292	0.1819385147
293	0.1819182544
294	0.1819090448
295	0.1818989989
296	0.1818825431
297	0.1818411503
298	0.1818233443
299	0.1817993597
300	0.1817891262
301	0.1817778262
302	0.1817681442
303	0.1817470492
304	0.1817369701
305	0.1817282574
306	0.1817056122
307	0.1816507307
308	0.1816245001
309	0.1816129693
310	0.1816045841
311	0.1815847033
312	0.1815463853
313	0.1815011932
314	0.1814857515
315	0.1814717989
316	0.1814474425
317	0.18141485
318	0.181389134
319	0.1813742797
320	0.1813470349
321	0.1813403021
322	0.1812749971
323	0.1812508744
324	0.181216719
325	0.1811367905
326	0.1811276921
327	0.1810972761
328	0.1810877149
329	0.1808988261
330	0.1808775273
331	0.180839093
332	0.1808064082
333	0.1807599889
334	0.1807486441
335	0.1807159419
336	0.1806899581
337	0.1806838178
338	0.1806164567
339	0.1805772806
340	0.1803815885
341	0.1803362355
342	0.1803228723
343	0.180305062
344	0.180289385
345	0.1802797634
346	0.1802640074
347	0.1802515434
348	0.1802431053
349	0.180231706
350	0.1802158765
351	0.1801641623
352	0.1801172033
353	0.1800478292
354	0.1800109095
355	0.1799693434
356	0.1799427669
357	0.1799024595
358	0.1798800022
359	0.1798628046
360	0.1798366634
361	0.1798249151
362	0.1797950887
363	0.1797863472
364	0.1797555421
365	0.1797430043
366	0.1797187418
367	0.1797064506
368	0.1795871452
369	0.1795719387
370	0.179566125
371	0.1795382951
372	0.1795306616
373	0.179507498
374	0.1794969085
375	0.1793227483
376	0.1793111713
377	0.1792634048
378	0.1792238159
379	0.1792075871
380	0.1791994612
381	0.1791828882
382	0.179160259
383	0.1791534489
384	0.1791352423
385	0.1790919208
386	0.179034342
387	0.1790196408
388	0.1790117602
389	0.1790024064
390	0.1789660133
391	0.1789482786
392	0.1789401542
393	0.1789257616
394	0.178880395
395	0.1788709277
396	0.178752
397	0.1787377551
398	0.1787265899
399	0.1787152875
400	0.178710864
401	0.1787036613
402	0.1786738911
403	0.1786465505
404	0.1786235972
405	0.1785841427
406	0.178561862
407	0.1784156444
