iter	Passed	Remaining
0	181	363745
1	321	321253
2	433	288388
3	537	268324
4	673	268713
5	801	266375
6	931	265198
7	1062	264579
8	1195	264397
9	1304	259675
10	1450	262226
11	1575	261025
12	1679	256650
13	1783	253061
14	1922	254349
15	2062	255808
16	2201	256827
17	2357	259608
18	2511	261808
19	2688	266201
20	2825	266237
21	2968	266896
22	3129	268977
23	3238	266625
24	3358	265345
25	3509	266478
26	3662	267615
27	3769	265490
28	3885	264081
29	3999	262608
30	4126	262109
31	4256	261747
32	4400	262267
33	4495	259955
34	4611	258912
35	4707	256819
36	4814	255447
37	4924	254246
38	5052	254063
39	5150	252361
40	5252	250975
41	5359	249848
42	5481	249470
43	5588	248434
44	5725	248759
45	5838	247991
46	5947	247150
47	6081	247316
48	6215	247491
49	6297	245597
50	6412	245073
51	6518	244184
52	6626	243437
53	6707	241700
54	6802	240564
55	6896	239404
56	6988	238205
57	7076	236943
58	7160	235560
59	7250	234435
60	7357	233860
61	7467	233429
62	7562	232525
63	7640	231133
64	7747	230628
65	7828	229409
66	7931	228843
67	8035	228293
68	8116	227150
69	8223	226722
70	8302	225573
71	8383	224502
72	8457	223256
73	8534	222117
74	8605	220884
75	8713	220583
76	8773	219121
77	8881	218839
78	8980	218364
79	9067	217626
80	9153	216866
81	9286	217204
82	9361	216226
83	9441	215345
84	9532	214752
85	9612	213943
86	9684	212952
87	9765	212186
88	9827	211025
89	9893	209959
90	9968	209122
91	10040	208226
92	10100	207116
93	10191	206646
94	10274	206026
95	10349	205256
96	10446	204936
97	10524	204255
98	10600	203554
99	10683	202988
100	10769	202485
101	10853	201967
102	10938	201457
103	11038	201235
104	11110	200526
105	11178	199729
106	11256	199144
107	11318	198275
108	11393	197667
109	11453	196788
110	11515	195974
111	11573	195097
112	11641	194401
113	11731	194087
114	11832	193946
115	11900	193275
116	12005	193215
117	12113	193203
118	12217	193116
119	12315	192946
120	12401	192579
121	12467	191911
122	12533	191259
123	12611	190804
124	12714	190711
125	12826	190763
126	12934	190759
127	13019	190413
128	13086	189802
129	13174	189511
130	13289	189599
131	13389	189477
132	13455	188888
133	13539	188541
134	13624	188219
135	13699	187760
136	13779	187385
137	13898	187525
138	14031	187863
139	14133	187778
140	14224	187544
141	14300	187115
142	14375	186678
143	14458	186350
144	14538	185986
145	14630	185785
146	14696	185259
147	14772	184852
148	14875	184799
149	14944	184319
150	15017	183894
151	15094	183519
152	15173	183168
153	15234	182613
154	15301	182137
155	15365	181630
156	15451	181384
157	15527	181026
158	15587	180479
159	15641	179877
160	15710	179452
161	15781	179049
162	15867	178820
163	15953	178600
164	16028	178252
165	16092	177791
166	16165	177431
167	16261	177326
168	16364	177297
169	16437	176946
170	16536	176869
171	16604	176471
172	16668	176029
173	16733	175601
174	16805	175258
175	16886	175003
176	16967	174756
177	17044	174464
178	17123	174205
179	17192	173832
180	17274	173601
181	17346	173270
182	17410	172866
183	17476	172484
184	17536	172048
185	17600	171650
186	17663	171250
187	17741	170998
188	17812	170675
189	17862	170163
190	17932	169844
191	18025	169737
192	18093	169404
193	18170	169152
194	18224	168693
195	18277	168225
196	18368	168114
197	18459	167999
198	18541	167806
199	18594	167350
